dataset,obj_id,memscore,obj_values
jonathan,579,0.822194,70.0
jonathan,580,0.872074,4.0
jonathan,581,0.933521,6.0
jonathan,582,0.871881,2.0
jonathan,583,0.888872,0.5
jonathan,584,0.839424,200.0
jonathan,585,0.826067,150.0
jonathan,586,0.888517,20.0
jonathan,587,0.855131,30.0
jonathan,588,0.854155,7.0
jonathan,589,0.869523,45.0
jonathan,590,0.845502,5.0
jonathan,591,0.831431,30.0
jonathan,592,0.850147,30.0
jonathan,593,0.842173,30.0
jonathan,594,0.845713,4.0
jonathan,595,0.843289,0.5
jonathan,596,0.886106,6.0
jonathan,597,0.866688,0.5
jonathan,598,0.810555,200.0
jonathan,599,0.820896,60.0
jonathan,600,0.823076,100.0
jonathan,601,0.827695,2000.0
jonathan,602,0.87541,40.0
jonathan,603,0.864124,200.0
jonathan,604,0.855585,25.0
jonathan,605,0.85529,20.0
jonathan,606,0.780387,120.0
jonathan,607,0.87662,0.5
jonathan,608,0.837895,75.0
jonathan,609,0.837961,500.0
jonathan,610,0.887233,0.5
jonathan,611,0.891399,12.0
jonathan,612,0.911096,10.0
jonathan,613,0.887357,4.0
jonathan,614,0.859908,15.0
jonathan,615,0.930924,20.0
jonathan,616,0.844811,500.0
jonathan,617,0.833812,100.0
jonathan,618,0.900502,5.0
jonathan,619,0.908132,6.0
jonathan,620,0.858633,4.0
jonathan,621,0.830271,20.0
jonathan,622,0.843894,10.0
jonathan,623,0.887801,45.0
jonathan,624,0.821196,25.0
jonathan,625,0.869979,50.0
jonathan,626,0.842793,15.0
jonathan,627,0.89863,5.0
jonathan,628,0.908473,0.5
jonathan,629,0.849954,100.0
jonathan,630,0.840194,60.0
jonathan,631,0.85031,2.0
jonathan,632,0.816624,60.0
jonathan,633,0.904381,0.5
jonathan,634,0.845455,20.0
jonathan,635,0.876501,50.0
jonathan,636,0.900267,6.0
jonathan,637,0.867277,6.0
jonathan,638,0.894172,400.0
jonathan,639,0.879046,3.0
jonathan,640,0.863252,1.0
jonathan,641,0.893994,5.0
jonathan,642,0.850008,60.0
jonathan,643,0.874414,50.0
jonathan,644,0.841642,120.0
jonathan,645,0.903444,2.0
jonathan,646,0.82293,2.0
jonathan,647,0.86566,75.0
jonathan,648,0.908052,1.0
jonathan,649,0.90184,3.0
jonathan,650,0.887446,30.0
jonathan,651,0.887757,18.0
jonathan,652,0.881144,3.0
jonathan,653,0.864867,2.0
jonathan,654,0.872848,4.0
jonathan,655,0.901313,2.0
jonathan,656,0.898364,1.0
jonathan,657,0.849383,8.0
jonathan,658,0.803698,90.0
jonathan,659,0.848892,250.0
jonathan,660,0.86564,30.0
jonathan,661,0.841166,300.0
jonathan,662,0.882109,4.0
jonathan,663,0.84272,15.0
jonathan,664,0.881732,20.0
jonathan,665,0.890389,12.0
